product_id,product_name,category,price,cost
P0001,Wireless Earbuds,Electronics,17354.67,12844.94
P0002,Wireless Earbuds - Variant 2,Electronics,33154.13,22204.37
P0003,Wireless Earbuds - Variant 3,Electronics,7696.02,4472.92
P0004,Bluetooth Speaker,Electronics,3367.3,2435.35
P0005,Bluetooth Speaker - Variant 2,Electronics,27369.28,18928.99
P0006,Bluetooth Speaker - Variant 3,Electronics,1709.83,1272.08
P0007,Smartwatch,Electronics,37593.96,22273.21
P0008,Smartwatch - Variant 2,Electronics,8836.66,5184.3
P0009,Smartwatch - Variant 3,Electronics,14247.51,9331.43
P0010,Power Bank 10000mAh,Electronics,19891.97,12099.21
P0011,Power Bank 10000mAh - Variant 2,Electronics,27843.9,16090.96
P0012,Power Bank 10000mAh - Variant 3,Electronics,13712.79,8546.8
P0013,Laptop Stand,Electronics,20958.29,14818.25
P0014,Laptop Stand - Variant 2,Electronics,9625.58,6284.03
P0015,Laptop Stand - Variant 3,Electronics,26984.72,15092.29
P0016,USB-C Hub,Electronics,27653.48,16152.53
P0017,USB-C Hub - Variant 2,Electronics,3675.28,2718.89
P0018,USB-C Hub - Variant 3,Electronics,43480.94,30944.49
P0019,Gaming Mouse,Electronics,14263.93,8123.8
P0020,Gaming Mouse - Variant 2,Electronics,31043.1,19806.44
P0021,Gaming Mouse - Variant 3,Electronics,6194.09,4020.18
P0022,Mechanical Keyboard,Electronics,2319.97,1697.9
P0023,Mechanical Keyboard - Variant 2,Electronics,12238.08,8352.54
P0024,Mechanical Keyboard - Variant 3,Electronics,14577.63,9533.97
P0025,4K Webcam,Electronics,24964.59,14653.49
P0026,4K Webcam - Variant 2,Electronics,43655.64,30778.39
P0027,4K Webcam - Variant 3,Electronics,42325.85,30854.08
P0028,Smartphone Case,Electronics,27227.18,19994.96
P0029,Smartphone Case - Variant 2,Electronics,4711.37,2775.92
P0030,Smartphone Case - Variant 3,Electronics,2799.05,1721.6
P0031,Cotton T-Shirt,Fashion,2125.78,1284.54
P0032,Cotton T-Shirt - Variant 2,Fashion,4194.07,2605.99
P0033,Cotton T-Shirt - Variant 3,Fashion,1619.39,1066.43
P0034,Denim Jacket,Fashion,961.34,682.97
P0035,Denim Jacket - Variant 2,Fashion,649.39,485.34
P0036,Denim Jacket - Variant 3,Fashion,3928.55,2316.84
P0037,Running Shoes,Fashion,324.95,231.72
P0038,Running Shoes - Variant 2,Fashion,3621.23,2519.66
P0039,Running Shoes - Variant 3,Fashion,3923.97,2216.29
P0040,Formal Shirt,Fashion,1983.79,1137.06
P0041,Formal Shirt - Variant 2,Fashion,4355.59,2938.54
P0042,Formal Shirt - Variant 3,Fashion,1854.22,1043.39
P0043,Leather Wallet,Fashion,1760.62,1082.85
P0044,Leather Wallet - Variant 2,Fashion,3728.15,2525.86
P0045,Leather Wallet - Variant 3,Fashion,4468.9,2879.95
P0046,Sunglasses,Fashion,861.09,596.43
P0047,Sunglasses - Variant 2,Fashion,3874.69,2566.03
P0048,Sunglasses - Variant 3,Fashion,3922.55,2544.79
P0049,Backpack,Fashion,2755.84,1751.36
P0050,Backpack - Variant 2,Fashion,418.47,239.19
P0051,Backpack - Variant 3,Fashion,446.72,302.56
P0052,Analog Watch,Fashion,1776.47,1157.75
P0053,Analog Watch - Variant 2,Fashion,4564.56,2738.09
P0054,Analog Watch - Variant 3,Fashion,2227.8,1561.93
P0055,Sneakers,Fashion,1374.35,777.05
P0056,Sneakers - Variant 2,Fashion,1660.83,967.01
P0057,Sneakers - Variant 3,Fashion,4668.58,3322.27
P0058,Woolen Sweater,Fashion,3276.0,2372.78
P0059,Woolen Sweater - Variant 2,Fashion,4076.26,2394.04
P0060,Woolen Sweater - Variant 3,Fashion,4494.03,2956.48
P0061,Non-stick Cookware Set,Home & Kitchen,7304.47,5326.55
P0062,Non-stick Cookware Set - Variant 2,Home & Kitchen,2997.43,1714.56
P0063,Non-stick Cookware Set - Variant 3,Home & Kitchen,2204.83,1401.0
P0064,Electric Kettle,Home & Kitchen,7397.53,5342.1
P0065,Electric Kettle - Variant 2,Home & Kitchen,260.18,169.68
P0066,Electric Kettle - Variant 3,Home & Kitchen,3872.22,2301.73
P0067,Air Fryer,Home & Kitchen,1253.82,774.26
P0068,Air Fryer - Variant 2,Home & Kitchen,8496.61,5222.36
P0069,Air Fryer - Variant 3,Home & Kitchen,4764.36,3290.29
P0070,Blender,Home & Kitchen,3398.94,2530.02
P0071,Blender - Variant 2,Home & Kitchen,8668.54,5204.21
P0072,Blender - Variant 3,Home & Kitchen,4574.79,2791.43
P0073,Bed Sheet Set,Home & Kitchen,2705.6,1508.04
P0074,Bed Sheet Set - Variant 2,Home & Kitchen,5563.17,3619.04
P0075,Bed Sheet Set - Variant 3,Home & Kitchen,652.01,394.94
