order_id,customer_id,order_date,order_status
O000001,C00374,2023-01-03,Delivered
O000002,C00227,2023-02-10,Cancelled
O000003,C01266,2023-11-15,Delivered
O000004,C01435,2024-11-09,Shipped
O000005,C00385,2024-01-16,Delivered
O000006,C00312,2023-12-01,Delivered
O000007,C00578,2023-03-18,Delivered
O000008,C00898,2024-04-05,Cancelled
O000009,C00477,2024-09-01,Delivered
O000010,C00031,2023-10-05,Delivered
O000011,C00701,2024-07-07,Delivered
O000012,C01021,2024-12-10,Delivered
O000013,C01428,2023-06-15,Returned
O000014,C00677,2023-12-02,Delivered
O000015,C01538,2023-07-27,Delivered
O000016,C00546,2024-07-02,Returned
O000017,C00963,2024-02-13,Delivered
O000018,C00513,2024-03-07,Returned
O000019,C00026,2024-08-13,Delivered
O000020,C00510,2023-10-25,Delivered
O000021,C00908,2024-11-25,Delivered
O000022,C00069,2024-01-24,Delivered
O000023,C00427,2023-05-15,Delivered
O000024,C01396,2024-05-13,Delivered
O000025,C00325,2024-07-11,Cancelled
O000026,C01067,2023-08-24,Delivered
O000027,C00986,2024-10-09,Cancelled
O000028,C00407,2024-11-10,Delivered
O000029,C00232,2023-07-02,Delivered
O000030,C00890,2024-12-21,Delivered
O000031,C01198,2023-04-01,Delivered
O000032,C00498,2023-06-13,Delivered
O000033,C00318,2023-05-02,Delivered
O000034,C00184,2024-11-25,Delivered
O000035,C01024,2024-04-06,Delivered
O000036,C01267,2023-04-22,Delivered
O000037,C01281,2023-11-25,Delivered
O000038,C00729,2024-03-02,Cancelled
O000039,C01099,2023-03-05,Returned
O000040,C00258,2024-11-04,Delivered
O000041,C00649,2024-08-08,Shipped
O000042,C01321,2023-12-26,Returned
O000043,C00899,2024-12-12,Cancelled
O000044,C00734,2023-11-07,Cancelled
O000045,C00514,2024-12-05,Delivered
O000046,C01448,2024-04-16,Delivered
O000047,C00604,2024-03-18,Shipped
O000048,C01004,2023-05-23,Delivered
O000049,C00383,2024-11-19,Shipped
O000050,C00663,2023-11-12,Cancelled
O000051,C00564,2023-05-15,Returned
O000052,C01227,2023-01-27,Returned
O000053,C00329,2024-01-18,Delivered
O000054,C00318,2023-12-17,Delivered
O000055,C00540,2024-05-10,Shipped
O000056,C00930,2024-11-12,Delivered
O000057,C01307,2023-03-25,Shipped
O000058,C01503,2024-06-13,Delivered
O000059,C01271,2023-05-01,Delivered
O000060,C01477,2024-10-11,Delivered
O000061,C01104,2024-09-22,Returned
O000062,C00389,2024-01-13,Shipped
O000063,C01019,2024-05-22,Returned
O000064,C00580,2023-08-18,Delivered
O000065,C00227,2023-12-14,Delivered
O000066,C01350,2024-09-17,Delivered
O000067,C00266,2023-11-02,Delivered
O000068,C00065,2023-09-28,Delivered
O000069,C00995,2023-12-04,Delivered
O000070,C00066,2024-09-04,Shipped
O000071,C00796,2023-09-21,Cancelled
O000072,C01278,2023-05-16,Cancelled
O000073,C00525,2024-05-19,Delivered
O000074,C00453,2024-09-12,Shipped
O000075,C00146,2023-03-23,Delivered
O000076,C01007,2023-06-07,Returned
O000077,C01309,2023-04-03,Delivered
O000078,C01523,2023-09-12,Delivered
O000079,C01451,2023-11-27,Delivered
O000080,C01264,2024-06-27,Delivered
O000081,C00084,2024-04-17,Cancelled
O000082,C00623,2024-03-03,Delivered
O000083,C01064,2023-09-07,Delivered
O000084,C01486,2024-10-04,Delivered
O000085,C00790,2023-12-18,Delivered
O000086,C01078,2024-12-07,Cancelled
O000087,C01168,2024-03-08,Cancelled
O000088,C00217,2023-04-06,Returned
O000089,C01181,2024-04-21,Delivered
O000090,C00940,2023-08-22,Cancelled
O000091,C00875,2024-05-22,Delivered
O000092,C01127,2023-02-06,Delivered
O000093,C00692,2023-05-17,Cancelled
O000094,C01094,2024-10-06,Shipped
O000095,C01127,2023-06-15,Delivered
O000096,C00762,2024-09-28,Delivered
O000097,C01297,2023-07-25,Delivered
O000098,C01487,2024-03-27,Delivered
O000099,C01118,2024-05-20,Delivered
O000100,C01569,2023-12-13,Shipped
O000101,C00521,2023-08-24,Delivered
O000102,C00001,2023-06-15,Cancelled
O000103,C01221,2023-01-02,Delivered
O000104,C00277,2023-08-17,Delivered
O000105,C00616,2024-04-01,Delivered
O000106,C00645,2024-11-07,Delivered
O000107,C01413,2024-10-25,Returned
O000108,C01134,2024-06-09,Shipped
O000109,C01169,2024-07-18,Shipped
O000110,C00194,2024-04-05,Delivered
O000111,C00729,2023-07-15,Delivered
O000112,C00543,2024-11-05,Delivered
O000113,C00512,2024-04-19,Delivered
O000114,C00616,2024-01-09,Delivered
O000115,C01504,2023-03-19,Delivered
O000116,C00665,2023-11-24,Returned
O000117,C00355,2023-11-16,Delivered
O000118,C01413,2024-10-27,Cancelled
O000119,C00196,2024-01-19,Shipped
O000120,C00616,2023-10-21,Delivered
O000121,C01181,2024-12-24,Delivered
O000122,C00115,2023-03-03,Returned
O000123,C00713,2023-11-11,Returned
O000124,C00854,2023-02-14,Returned
O000125,C01578,2024-06-04,Delivered
O000126,C01337,2024-11-24,Returned
O000127,C00024,2023-07-20,Cancelled
O000128,C01295,2024-10-25,Delivered
O000129,C00625,2023-07-02,Shipped
O000130,C00654,2024-11-02,Shipped
O000131,C00670,2024-06-19,Shipped
O000132,C00453,2024-08-23,Delivered
O000133,C01380,2023-01-02,Cancelled
O000134,C00913,2024-12-13,Returned
O000135,C01179,2024-06-20,Shipped
O000136,C00455,2023-08-03,Delivered
O000137,C00808,2024-09-10,Delivered
O000138,C00689,2023-07-05,Delivered
O000139,C01171,2024-10-16,Cancelled
O000140,C00818,2023-03-02,Delivered
O000141,C00817,2024-05-03,Shipped
O000142,C01585,2024-01-14,Cancelled
O000143,C00277,2023-03-05,Delivered
O000144,C00406,2023-06-18,Delivered
O000145,C01171,2023-01-13,Delivered
O000146,C01262,2023-11-18,Cancelled
O000147,C00505,2023-08-17,Delivered
O000148,C00546,2024-02-03,Returned
O000149,C01180,2023-08-14,Delivered
O000150,C01376,2023-08-04,Delivered
O000151,C00749,2024-06-14,Delivered
O000152,C01577,2023-02-07,Delivered
O000153,C00717,2024-11-06,Shipped
O000154,C00906,2024-10-27,Shipped
O000155,C00903,2024-04-05,Delivered
O000156,C00479,2024-02-27,Delivered
O000157,C00766,2024-11-22,Delivered
O000158,C00176,2023-05-25,Delivered
O000159,C00498,2023-03-24,Shipped
O000160,C00029,2023-06-05,Delivered
O000161,C00228,2024-07-23,Delivered
O000162,C00680,2023-01-15,Delivered
O000163,C01102,2024-02-24,Delivered
O000164,C01120,2024-12-07,Shipped
O000165,C00530,2024-10-25,Shipped
O000166,C00290,2023-12-16,Cancelled
O000167,C01194,2023-02-23,Cancelled
O000168,C00090,2024-09-17,Delivered
O000169,C00124,2024-02-06,Delivered
O000170,C01427,2023-03-07,Shipped
O000171,C00109,2023-03-09,Delivered
O000172,C00018,2024-11-21,Delivered
O000173,C01353,2024-04-13,Delivered
O000174,C01352,2024-09-22,Delivered
O000175,C00221,2024-11-28,Delivered
O000176,C01330,2024-02-10,Delivered
O000177,C00780,2023-12-08,Shipped
O000178,C00204,2023-11-23,Delivered
O000179,C01089,2023-08-16,Delivered
O000180,C00408,2023-11-06,Shipped
O000181,C01460,2024-06-15,Delivered
O000182,C00507,2024-02-02,Shipped
O000183,C00684,2024-11-10,Delivered
O000184,C01525,2023-11-13,Delivered
O000185,C00711,2024-02-01,Cancelled
O000186,C00728,2024-03-12,Cancelled
O000187,C00565,2024-02-10,Returned
O000188,C01282,2024-05-02,Delivered
O000189,C00061,2023-06-13,Shipped
O000190,C00462,2023-12-09,Delivered
O000191,C00805,2023-03-11,Cancelled
O000192,C00180,2023-10-05,Cancelled
O000193,C01067,2023-12-13,Cancelled
O000194,C01282,2024-04-20,Cancelled
O000195,C00855,2024-12-08,Delivered
O000196,C00874,2024-02-19,Delivered
O000197,C00675,2024-06-20,Delivered
O000198,C00424,2023-12-18,Cancelled
O000199,C01109,2024-03-05,Cancelled
O000200,C00415,2023-02-26,Returned
O000201,C01411,2023-07-05,Cancelled
O000202,C00277,2023-09-17,Delivered
O000203,C00298,2023-12-25,Cancelled
O000204,C00651,2023-02-19,Delivered
O000205,C01092,2023-04-18,Cancelled
O000206,C00378,2023-07-04,Delivered
O000207,C00299,2024-12-27,Cancelled
O000208,C01568,2023-08-01,Delivered
O000209,C00843,2023-12-14,Delivered
O000210,C01305,2023-06-15,Cancelled
O000211,C00312,2024-03-09,Returned
O000212,C00379,2023-07-07,Delivered
O000213,C01264,2023-06-25,Delivered
O000214,C00473,2023-12-20,Shipped
O000215,C00736,2023-01-08,Delivered
O000216,C00977,2023-01-23,Delivered
O000217,C00961,2023-06-17,Cancelled
O000218,C00766,2023-01-21,Delivered
O000219,C01007,2023-03-28,Delivered
O000220,C00396,2023-09-05,Delivered
O000221,C01566,2024-08-02,Delivered
O000222,C00846,2024-02-09,Delivered
O000223,C00416,2023-12-24,Returned
O000224,C00900,2023-08-07,Returned
O000225,C01004,2024-11-20,Cancelled
O000226,C00938,2023-10-11,Delivered
O000227,C00086,2023-03-14,Shipped
O000228,C00780,2024-03-24,Cancelled
O000229,C00808,2023-03-11,Shipped
O000230,C01099,2023-09-24,Shipped
O000231,C00079,2023-12-21,Shipped
O000232,C00925,2024-10-04,Delivered
O000233,C01102,2023-12-27,Delivered
O000234,C00081,2024-05-24,Shipped
O000235,C01058,2024-12-13,Returned
O000236,C00389,2023-04-21,Delivered
O000237,C00816,2023-07-15,Delivered
O000238,C00945,2023-10-25,Delivered
O000239,C01414,2023-11-14,Shipped
O000240,C00950,2023-11-05,Returned
O000241,C00926,2024-11-21,Delivered
O000242,C01026,2024-05-24,Delivered
O000243,C01595,2024-02-06,Shipped
O000244,C01120,2023-08-23,Delivered
O000245,C00847,2024-09-13,Delivered
O000246,C00052,2024-12-15,Delivered
O000247,C01209,2024-09-15,Cancelled
O000248,C00513,2023-01-07,Delivered
O000249,C01329,2024-03-23,Cancelled
O000250,C00187,2023-02-26,Delivered
O000251,C00921,2023-07-23,Cancelled
O000252,C00175,2023-02-12,Shipped
O000253,C01489,2024-02-23,Returned
O000254,C01254,2024-05-17,Delivered
O000255,C01128,2023-03-13,Delivered
O000256,C01574,2023-10-02,Delivered
O000257,C01351,2023-11-11,Returned
O000258,C00333,2023-09-05,Returned
O000259,C00367,2023-04-05,Returned
O000260,C00106,2023-11-23,Delivered
O000261,C00634,2024-06-10,Cancelled
O000262,C00914,2023-02-25,Delivered
O000263,C00371,2023-03-21,Delivered
O000264,C00416,2023-09-05,Delivered
O000265,C01568,2024-12-20,Delivered
O000266,C00940,2024-04-01,Delivered
O000267,C01022,2024-04-28,Shipped
O000268,C01011,2023-09-26,Delivered
O000269,C01206,2024-02-07,Cancelled
O000270,C00840,2023-01-16,Delivered
O000271,C01232,2024-03-03,Shipped
O000272,C00502,2024-11-01,Shipped
O000273,C01270,2024-03-09,Cancelled
O000274,C00426,2024-10-18,Delivered
O000275,C00304,2024-05-06,Delivered
O000276,C00298,2023-04-21,Returned
O000277,C01367,2024-11-02,Shipped
O000278,C00180,2023-02-27,Delivered
O000279,C00854,2024-01-04,Delivered
O000280,C01252,2023-04-06,Cancelled
O000281,C01219,2023-01-23,Shipped
O000282,C01152,2023-11-26,Delivered
O000283,C00074,2023-08-15,Delivered
O000284,C00613,2023-12-25,Delivered
O000285,C00777,2024-02-12,Returned
O000286,C01554,2023-02-03,Delivered
O000287,C01128,2023-04-27,Delivered
O000288,C00965,2024-01-10,Delivered
O000289,C01075,2023-09-04,Delivered
O000290,C00429,2024-06-23,Shipped
O000291,C00224,2024-04-02,Shipped
O000292,C01289,2024-10-24,Shipped
O000293,C00991,2024-05-03,Cancelled
O000294,C01239,2023-11-23,Returned
O000295,C00589,2024-04-23,Delivered
O000296,C00649,2023-07-20,Delivered
O000297,C01277,2023-08-17,Delivered
O000298,C01259,2024-07-05,Shipped
O000299,C01065,2023-11-16,Cancelled
O000300,C01020,2024-08-21,Delivered
