order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI000001,O002975,P0235,1,373.21,10
OI000002,O002888,P0019,1,14263.93,0
OI000003,O003903,P0178,2,162.51,0
OI000004,O002462,P0079,1,6113.79,0
OI000005,O002462,P0062,1,2997.43,5
OI000006,O003844,P0194,1,1093.82,0
OI000007,O003844,P0104,1,393.27,5
OI000008,O003844,P0078,1,8872.72,0
OI000009,O000567,P0212,1,181.25,0
OI000010,O001008,P0054,1,2227.8,0
OI000011,O003378,P0139,1,5647.58,0
OI000012,O004063,P0164,1,597.92,0
OI000013,O004063,P0025,1,24964.59,0
OI000014,O004075,P0209,1,1131.26,0
OI000015,O002868,P0049,1,2755.84,0
OI000016,O002868,P0007,1,37593.96,0
OI000017,O000075,P0005,1,27369.28,0
OI000018,O000075,P0008,1,8836.66,0
OI000019,O002838,P0076,1,8191.74,0
OI000020,O002838,P0031,1,2125.78,0
OI000021,O000352,P0054,1,2227.8,0
OI000022,O003997,P0048,1,3922.55,5
OI000023,O003997,P0212,2,181.25,0
OI000024,O002554,P0199,1,3024.68,0
OI000025,O002554,P0175,3,436.15,0
OI000026,O002886,P0019,1,14263.93,0
OI000027,O001271,P0018,1,43480.94,5
OI000028,O003656,P0065,1,260.18,15
OI000029,O003656,P0116,1,2403.95,0
OI000030,O001619,P0031,1,2125.78,0
OI000031,O001619,P0109,1,1042.66,10
OI000032,O002013,P0092,1,2780.61,0
OI000033,O002013,P0170,3,525.76,10
OI000034,O002013,P0104,1,393.27,10
OI000035,O002013,P0003,2,7696.02,15
OI000036,O002706,P0179,1,122.86,0
OI000037,O002706,P0153,1,752.48,0
OI000038,O001993,P0077,2,1474.07,0
OI000039,O001993,P0088,1,5876.52,0
OI000040,O001877,P0100,1,2671.55,0
OI000041,O001877,P0096,1,369.0,0
OI000042,O003303,P0054,1,2227.8,0
OI000043,O003438,P0078,1,8872.72,0
OI000044,O003791,P0110,1,1982.94,10
OI000045,O003791,P0159,1,467.06,0
OI000046,O003211,P0151,1,145.51,0
OI000047,O003060,P0236,1,66.62,0
OI000048,O003060,P0123,1,402.56,15
OI000049,O003060,P0163,1,958.38,0
OI000050,O002828,P0158,1,851.38,20
OI000051,O002828,P0152,1,585.57,0
OI000052,O000835,P0011,2,27843.9,0
OI000053,O000835,P0174,2,670.58,0
OI000054,O000835,P0126,1,2271.81,15
OI000055,O000835,P0009,1,14247.51,0
OI000056,O001658,P0128,1,1434.6,0
OI000057,O003331,P0082,1,5774.06,0
OI000058,O002789,P0090,2,8442.22,0
OI000059,O002789,P0008,1,8836.66,0
OI000060,O000073,P0066,2,3872.22,0
OI000061,O000073,P0180,1,945.21,0
OI000062,O002291,P0122,1,6428.59,10
OI000063,O001423,P0221,1,172.01,0
OI000064,O001979,P0205,1,3182.03,5
OI000065,O000767,P0099,1,2204.27,0
OI000066,O001439,P0193,1,2611.49,0
OI000067,O001439,P0138,2,3724.99,10
OI000068,O001261,P0198,1,1290.69,0
OI000069,O001244,P0026,2,43655.64,0
OI000070,O001244,P0109,1,1042.66,0
OI000071,O003119,P0177,1,691.82,15
OI000072,O002395,P0151,1,145.51,0
OI000073,O000663,P0159,1,467.06,0
OI000074,O000663,P0226,1,1175.86,10
OI000075,O000663,P0090,2,8442.22,5
OI000076,O000663,P0176,1,551.82,0
OI000077,O000346,P0126,1,2271.81,0
OI000078,O003914,P0007,1,37593.96,5
OI000079,O003914,P0098,1,1082.19,0
OI000080,O003682,P0010,1,19891.97,0
OI000081,O001745,P0125,1,6755.25,0
OI000082,O001745,P0195,1,2663.56,0
OI000083,O002952,P0232,1,1130.77,0
OI000084,O002546,P0023,1,12238.08,0
OI000085,O004002,P0122,1,6428.59,10
OI000086,O003282,P0065,1,260.18,0
OI000087,O003282,P0140,2,5002.18,0
OI000088,O002630,P0024,1,14577.63,0
OI000089,O003496,P0022,1,2319.97,20
OI000090,O003496,P0063,1,2204.83,0
OI000091,O003496,P0186,1,486.61,0
OI000092,O003496,P0213,2,132.46,0
OI000093,O001044,P0184,3,3368.99,0
OI000094,O001044,P0162,1,693.18,5
OI000095,O000129,P0237,1,111.58,0
OI000096,O000153,P0025,1,24964.59,0
OI000097,O003543,P0117,1,1772.02,0
OI000098,O003543,P0098,1,1082.19,0
OI000099,O003543,P0192,1,2255.96,5
OI000100,O003543,P0087,2,4705.42,0
OI000101,O000414,P0062,1,2997.43,0
OI000102,O003734,P0155,2,814.67,0
OI000103,O003734,P0121,3,6600.07,0
OI000104,O000397,P0009,1,14247.51,0
OI000105,O000397,P0083,1,993.55,0
OI000106,O002307,P0080,1,2290.21,0
OI000107,O002307,P0142,2,2815.41,0
OI000108,O003066,P0199,1,3024.68,0
OI000109,O003066,P0181,1,1449.37,0
OI000110,O000694,P0219,1,154.51,0
OI000111,O000694,P0116,1,2403.95,5
OI000112,O004196,P0056,1,1660.83,0
OI000113,O004196,P0158,1,851.38,0
OI000114,O002202,P0106,1,1690.33,0
OI000115,O002194,P0025,1,24964.59,0
OI000116,O001522,P0003,1,7696.02,10
OI000117,O001522,P0176,1,551.82,0
OI000118,O002508,P0033,1,1619.39,0
OI000119,O000814,P0152,1,585.57,15
OI000120,O000814,P0221,3,172.01,0
OI000121,O001762,P0173,1,457.65,0
OI000122,O001762,P0200,1,2664.42,0
OI000123,O001762,P0008,1,8836.66,15
OI000124,O003387,P0240,1,1454.49,10
OI000125,O001009,P0130,1,4118.41,0
OI000126,O004092,P0114,1,2920.73,0
OI000127,O000539,P0018,2,43480.94,10
OI000128,O003907,P0129,1,6571.24,0
OI000129,O003141,P0047,1,3874.69,0
OI000130,O003141,P0119,1,913.24,20
OI000131,O003141,P0071,1,8668.54,0
OI000132,O003141,P0179,1,122.86,0
OI000133,O003637,P0145,1,2218.83,0
OI000134,O003637,P0100,1,2671.55,0
OI000135,O003464,P0206,1,1218.7,5
OI000136,O000817,P0237,1,111.58,0
OI000137,O000748,P0138,1,3724.99,10
OI000138,O004181,P0168,1,140.4,0
OI000139,O002747,P0186,2,486.61,0
OI000140,O000650,P0013,1,20958.29,0
OI000141,O000650,P0065,1,260.18,10
OI000142,O003622,P0150,1,4472.37,0
OI000143,O003622,P0031,1,2125.78,5
OI000144,O002370,P0179,1,122.86,10
OI000145,O002468,P0133,1,6177.4,10
OI000146,O001090,P0126,1,2271.81,5
OI000147,O001230,P0045,1,4468.9,0
OI000148,O002494,P0231,1,219.41,15
OI000149,O002859,P0116,1,2403.95,0
OI000150,O001172,P0076,1,8191.74,0
OI000151,O002931,P0219,1,154.51,5
OI000152,O001684,P0042,1,1854.22,0
OI000153,O001684,P0011,1,27843.9,5
OI000154,O002174,P0075,2,652.01,0
OI000155,O001102,P0154,1,563.67,15
OI000156,O000164,P0085,1,557.82,0
OI000157,O000846,P0110,1,1982.94,10
OI000158,O000556,P0029,1,4711.37,0
OI000159,O002579,P0176,1,551.82,0
OI000160,O002579,P0040,1,1983.79,20
OI000161,O002264,P0215,1,557.83,0
OI000162,O002264,P0020,1,31043.1,15
OI000163,O003135,P0051,1,446.72,0
OI000164,O002645,P0124,1,3167.83,0
OI000165,O002645,P0125,2,6755.25,0
OI000166,O002645,P0064,1,7397.53,20
OI000167,O002223,P0002,2,33154.13,5
OI000168,O002223,P0100,1,2671.55,15
OI000169,O002223,P0199,1,3024.68,10
OI000170,O002564,P0191,1,544.85,10
OI000171,O002564,P0207,1,3333.53,0
OI000172,O002564,P0168,1,140.4,0
OI000173,O000764,P0232,1,1130.77,0
OI000174,O002823,P0046,3,861.09,0
OI000175,O002823,P0198,1,1290.69,0
OI000176,O000358,P0097,1,2710.21,5
OI000177,O000358,P0012,2,13712.79,0
OI000178,O000358,P0078,2,8872.72,15
OI000179,O000684,P0047,1,3874.69,0
OI000180,O000684,P0058,2,3276.0,0
OI000181,O000684,P0088,1,5876.52,0
OI000182,O003044,P0222,1,591.69,0
OI000183,O000370,P0175,1,436.15,0
OI000184,O003620,P0150,1,4472.37,0
OI000185,O003620,P0217,1,945.42,0
OI000186,O004048,P0127,1,6001.62,0
OI000187,O002915,P0059,1,4076.26,0
OI000188,O004106,P0183,1,3302.91,20
OI000189,O004106,P0114,1,2920.73,0
OI000190,O004106,P0207,1,3333.53,0
OI000191,O000896,P0180,1,945.21,5
OI000192,O001803,P0234,1,463.28,0
OI000193,O000754,P0030,1,2799.05,0
OI000194,O000754,P0026,1,43655.64,0
OI000195,O000754,P0043,1,1760.62,0
OI000196,O003049,P0036,2,3928.55,0
OI000197,O003049,P0034,2,961.34,15
OI000198,O003792,P0190,1,2877.47,0
OI000199,O003792,P0155,1,814.67,0
OI000200,O000721,P0145,1,2218.83,0
OI000201,O000305,P0007,1,37593.96,0
OI000202,O003868,P0113,1,868.09,0
OI000203,O003868,P0128,1,1434.6,5
OI000204,O002386,P0094,1,2468.94,0
OI000205,O004015,P0204,1,1452.83,0
OI000206,O000366,P0179,1,122.86,10
OI000207,O003052,P0111,2,2006.08,0
OI000208,O003223,P0006,1,1709.83,0
OI000209,O003223,P0182,1,1684.15,5
OI000210,O002352,P0135,1,2707.59,0
OI000211,O003123,P0230,1,130.64,0
OI000212,O003123,P0178,1,162.51,0
OI000213,O002937,P0095,2,1634.99,0
OI000214,O002937,P0163,1,958.38,5
OI000215,O002937,P0140,1,5002.18,20
OI000216,O002895,P0028,1,27227.18,0
OI000217,O000354,P0108,2,2164.32,0
OI000218,O000354,P0122,1,6428.59,5
OI000219,O001620,P0009,1,14247.51,10
OI000220,O001620,P0072,1,4574.79,5
OI000221,O001582,P0112,1,370.66,10
OI000222,O000002,P0143,1,4173.48,5
OI000223,O000523,P0180,1,945.21,0
OI000224,O003249,P0109,1,1042.66,0
OI000225,O003922,P0018,1,43480.94,0
OI000226,O003922,P0017,1,3675.28,0
OI000227,O003922,P0023,1,12238.08,0
OI000228,O000629,P0068,1,8496.61,0
OI000229,O002367,P0225,1,594.58,0
OI000230,O002367,P0171,1,541.45,5
OI000231,O004045,P0092,2,2780.61,0
OI000232,O004045,P0122,1,6428.59,0
OI000233,O002058,P0103,3,1857.64,0
OI000234,O002058,P0130,1,4118.41,0
OI000235,O002381,P0236,1,66.62,0
OI000236,O002620,P0063,1,2204.83,5
OI000237,O002164,P0233,1,1444.15,0
OI000238,O001237,P0238,1,814.17,0
OI000239,O001237,P0225,1,594.58,0
OI000240,O000209,P0036,1,3928.55,10
OI000241,O000209,P0031,1,2125.78,20
OI000242,O003534,P0007,2,37593.96,0
OI000243,O003534,P0042,1,1854.22,0
OI000244,O003534,P0023,1,12238.08,0
OI000245,O003534,P0147,1,5810.42,0
OI000246,O003022,P0048,1,3922.55,0
OI000247,O003022,P0171,1,541.45,0
OI000248,O003022,P0051,1,446.72,20
OI000249,O001296,P0115,1,2685.94,10
OI000250,O001296,P0169,1,868.91,5
OI000251,O003550,P0140,1,5002.18,0
OI000252,O003550,P0096,1,369.0,0
OI000253,O003069,P0143,1,4173.48,5
OI000254,O003069,P0068,2,8496.61,15
