order_item_id,order_id,customer_id,product_id,category,product_name,order_date,order_status,quantity,unit_price,discount_pct,line_revenue,review_score,estimated_delivery_date,actual_delivery_date,delay_days
OI000001,O002975,C01152,P0235,Grocery,Breakfast Cereal,2023-11-25,Returned,1,373.21,10.0,335.89,2.0,2023-11-30,2023-12-03,3.0
OI000002,O002888,C00365,P0019,Electronics,Gaming Mouse,2024-05-23,Delivered,1,14263.93,0.0,14263.93,4.0,2024-05-27,2024-05-28,1.0
OI000003,O003903,C00185,P0178,Books,Travel Guide,2024-12-28,Delivered,2,162.51,0.0,325.02,3.0,2025-01-03,2025-01-05,2.0
OI000004,O002462,C01041,P0079,Home & Kitchen,Storage Organizer,2023-12-14,Delivered,1,6113.79,0.0,6113.79,3.0,2023-12-21,2023-12-23,2.0
OI000005,O002462,C01041,P0062,Home & Kitchen,Non-stick Cookware Set - Variant 2,2023-12-14,Delivered,1,2997.43,5.0,2847.56,3.0,2023-12-21,2023-12-23,2.0
OI000006,O003844,C01233,P0194,Toys & Baby,Puzzle Set - Variant 2,2024-04-08,Shipped,1,1093.82,0.0,1093.82,,,,
OI000007,O003844,C01233,P0104,Beauty & Personal Care,Lipstick Set - Variant 2,2024-04-08,Shipped,1,393.27,5.0,373.61,,,,
OI000008,O003844,C01233,P0078,Home & Kitchen,Table Lamp - Variant 3,2024-04-08,Shipped,1,8872.72,0.0,8872.72,,,,
OI000009,O000567,C01437,P0212,Grocery,Basmati Rice 5kg - Variant 2,2024-12-08,Cancelled,1,181.25,0.0,181.25,,,,
OI000010,O001008,C00460,P0054,Fashion,Analog Watch - Variant 3,2023-01-19,Delivered,1,2227.8,0.0,2227.8,3.0,2023-01-23,2023-01-26,3.0
OI000011,O003378,C00615,P0139,Sports & Fitness,Skipping Rope,2023-10-16,Shipped,1,5647.58,0.0,5647.58,,,,
OI000012,O004063,C00060,P0164,Books,Biography - Variant 2,2023-03-10,Cancelled,1,597.92,0.0,597.92,,,,
OI000013,O004063,C00060,P0025,Electronics,4K Webcam,2023-03-10,Cancelled,1,24964.59,0.0,24964.59,,,,
OI000014,O004075,C00365,P0209,Toys & Baby,Board Game - Variant 2,2023-05-13,Delivered,1,1131.26,0.0,1131.26,4.0,2023-05-20,2023-05-19,-1.0
OI000015,O002868,C00162,P0049,Fashion,Backpack,2024-06-12,Cancelled,1,2755.84,0.0,2755.84,,,,
OI000016,O002868,C00162,P0007,Electronics,Smartwatch,2024-06-12,Cancelled,1,37593.96,0.0,37593.96,,,,
OI000017,O000075,C00146,P0005,Electronics,Bluetooth Speaker - Variant 2,2023-03-23,Delivered,1,27369.28,0.0,27369.28,3.0,2023-03-28,2023-03-29,1.0
OI000018,O000075,C00146,P0008,Electronics,Smartwatch - Variant 2,2023-03-23,Delivered,1,8836.66,0.0,8836.66,3.0,2023-03-28,2023-03-29,1.0
